#SampleID	sample_alias	bee_type	collection_date	env_biome	env_feature	env_material	geo_loc_name	host	lat_lon	BioSampleModelA	BioSampleModel	ENA-SPOT-COUNT	ENA-BASE-COUNT	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE
SRR3202913	SDB2_Fn_01	Fn	Jul-2013	City	Organic Feature	Gut_St.Denijs_001	Belgium	Bombus pascuorum	51.01 N 3.41 E	MIMS.me	MIGS/MIMS/MIMARKS.host-associated	101833	30753566	2016-03-04	2016-03-14
SRR3202914	SDB2_Fn_02	Fn	Jul-2013	City	Organic Feature	Gut_St.Denijs_002	Belgium	Bombus pascuorum	51.01 N 3.41 E	MIMS.me	MIGS/MIMS/MIMARKS.host-associated	77811	23498922	2016-03-04	2016-03-14
SRR3202915	SDB2_Fn_03	Fn	Jul-2013	City	Organic Feature	Gut_St.Denijs_003	Belgium	Bombus pascuorum	51.01 N 3.41 E	MIMS.me	MIGS/MIMS/MIMARKS.host-associated	102711	31018722	2016-03-04	2016-03-14
SRR3202916	SDB2_Fn_04	Fn	Jul-2013	City	Organic Feature	Gut_St.Denijs_004	Belgium	Bombus pascuorum	51.01 N 3.41 E	MIMS.me	MIGS/MIMS/MIMARKS.host-associated	80228	24228856	2016-03-04	2016-03-14
SRR3202917	SDB2_Fn_05	Fn	Jul-2013	City	Organic Feature	Gut_St.Denijs_005	Belgium	Bombus pascuorum	51.01 N 3.41 E	MIMS.me	MIGS/MIMS/MIMARKS.host-associated	83988	25364376	2016-03-04	2016-03-14
SRR3202918	SDB2_Fn_06	Fn	Jul-2013	City	Organic Feature	Gut_St.Denijs_006	Belgium	Bombus pascuorum	51.01 N 3.41 E	MIMS.me	MIGS/MIMS/MIMARKS.host-associated	86373	26084646	2016-03-04	2016-03-14
SRR3202919	SDB2_Fn_07	Fn	Jul-2013	City	Organic Feature	Gut_St.Denijs_007	Belgium	Bombus pascuorum	51.01 N 3.41 E	MIMS.me	MIGS/MIMS/MIMARKS.host-associated	97378	29408156	2016-03-04	2016-03-14
SRR3202920	SDB2_Fn_08	Fn	Jul-2013	City	Organic Feature	Gut_St.Denijs_008	Belgium	Bombus pascuorum	51.01 N 3.41 E	MIMS.me	MIGS/MIMS/MIMARKS.host-associated	94180	28442360	2016-03-04	2016-03-14
SRR3202921	SDB2_Fn_09	Fn	Jul-2013	City	Organic Feature	Gut_St.Denijs_009	Belgium	Bombus pascuorum	51.01 N 3.41 E	MIMS.me	MIGS/MIMS/MIMARKS.host-associated	94028	28396456	2016-03-04	2016-03-14
SRR3202922	SDB2_Fn_10	Fn	Jul-2013	City	Organic Feature	Gut_St.Denijs_010	Belgium	Bombus pascuorum	51.01 N 3.41 E	MIMS.me	MIGS/MIMS/MIMARKS.host-associated	76282	23037164	2016-03-04	2016-03-14
SRR3202923	SDB2_Fn_11	Fn	Jul-2013	City	Organic Feature	Gut_St.Denijs_011	Belgium	Bombus pascuorum	51.01 N 3.41 E	MIMS.me	MIGS/MIMS/MIMARKS.host-associated	96903	29264706	2016-03-04	2016-03-14
